Pin Name,Channel Site-1,Channel Site-2,Ball Number(s)
HB_DATA6,12005,10206,W10
HB_DATA7,11901,10105,Y10
HB_INT_N,12116,10615,AB5
HB_PSC_N,10404,10616,Y7
HB_PSC_P,10402,10614,AA6
HB_RESET_N,13115,12313,Y8
HB_RSTO_N,11804,10312,AA7
HB_RWDS,12004,10205,W9
HB_WP,12211,10609,V8
I2S_A_SCK,12102,11309,D1
I2S_A_SDOUT,13002,11214,D3
I2S_A_WS,12901,11415,D2
I2S_B_SCK,13103,11615,F4
I2S_B_SDIN,11708,11508,B1
I2S_B_WS,12716,11414,C2
IO1V1_SENSE,12008,10209,W14
IO1V8_SENSE,12009,10201,V15
IO3V3_SENSE,11904,10109,Y14
JTAG_SEL,10408,10816,AB19
MMC_DEBUG_CLK_N,12107,10703,J19
MMC_DEBUG_CLK_P,12105,10701,J18
MMC_DEBUG_DATA0_N,12103,10515,G19
MMC_DEBUG_DATA0_P,12101,10513,G18
MMC_DEBUG_DATA1_N,10504,10904,G21
MMC_DEBUG_DATA1_P,10502,10902,G22
MMC_DEBUG_DATA2_N,12304,10512,H19
MMC_DEBUG_DATA2_P,12302,H18
MMC_DEBUG_DATA3_N,12316,11016,H21
MMC_DEBUG_DATA3_P,12314,11014,H22
MMC_DEBUG_DATA4_N,10503,10903,J21
MMC_DEBUG_DATA4_P,10501,10901,J22
MMC_DEBUG_DATA5_N,11816,10804,K19
MMC_DEBUG_DATA5_P,11814,10802,K18
MMC_DEBUG_DATA6_N,12215,10915,K21
MMC_DEBUG_DATA6_P,12213,10913,K22
MMC_DEBUG_DATA7_N,11916,10508,L19
MMC_DEBUG_DATA7_P,11914,10506,L18
MMC_M_IN,11907,10112,Y18
MMC_M_OUT,11905,10101,Y15
NSRST,12712,11401,E6
PCI_CLK_M,12508,11304,A11
PCI_CLK_P,12506,11302,B11
POR_BYPASS,11809,10705,AA15
POR_DLY,11801,10706,AA16
QIO_C,11808,10607,V12
QIO_DQ0,10304,10812,AB12
QIO_DQ1,11807,10704,AA12
QIO_DQ2,11902,10107,Y12
QIO_DQ3,10303,10811,AB11
QIO_RESET_N,11806,10604,AA11
QIO_SN0,11903,10108,AA13
QIO_SN1,12007,10208,W13
RESET_N,10407,10815,AB17
SCA_MCLK,12407,11114,P21
SCA_TRX_AUX_DI0,10601,11003,P22
SCA_TRX_AUX_DI1,11913,10702,P19
SCA_TRX_AUX_DI2,10416,11002,R22
SCA_TRX_AUX_DQ0,12406,11113,R21
SCA_TRX_AUX_DQ1,11713,10215,P18
SCA_TRX_AUX_DQ2,10415,11001,T22
SCA_TRX_MAIN_DI0,12014,10509,L22
SCA_TRX_MAIN_DI1,10602,11004,N19
SCA_TRX_MAIN_DI2,12409,10916,M21
SCA_TRX_MAIN_DQ0,12408,10914,N21
SCA_TRX_MAIN_DQ1,11714,10216,N18
SCA_TRX_MAIN_DQ2,11715,10315,N22
SCA_TRX_MAIN_FRAME,10603,11005,M19
SCAN_MODE,11812,10708,AA18
SCB_MCLK,12912,10912,A16
SCB_TRX_AUX_DI0,12704,11405,B16
SCB_TRX_AUX_DI1,12503,11205,C16
SCB_TRX_AUX_DI2,12507,11206,D15
SCB_TRX_AUX_DQ0,12703,11403,B17
SCB_TRX_AUX_DQ1,12502,11204,C17
SCB_TRX_AUX_DQ2,12911,10911,A18
SCB_TRX_MAIN_DI0,12706,11303,B14
SCB_TRX_MAIN_DI1,12505,10906,A14
SCB_TRX_MAIN_DI2,12509,11207,D14
SCB_TRX_MAIN_DQ0,12504,10905,A15
SCB_TRX_MAIN_DQ1,12705,11301,B15
SCB_TRX_MAIN_DQ2,12608,11013,E14
SCB_TRX_MAIN_FRAME,12609,11015,E13
SCL,12201,11301,E1
SDA,12902,11416,F2
SPI_A_CS0,11813,10709,AA19
SPI_A_MISO,11915,10701,AA20
SPI_A_MOSI,11908,10113,Y19
SPI_A_SCLK,10401,11102,AB21
SPI_B_CS0,12701,11503,F20
SPI_B_MISO,12702,11401,F19
SPI_B_MOSI,12106,11007,E22
SPI_B_SCLK,12104,11006,F22
SPI_C_CS0,12916,10306,U2
SPI_C_MISO,13001,12305,R4
SPI_C_MOSI,13108,12111,R3
SPI_C_SCLK,13011,12306,T4
TCK,12715,11413,B2
TDI,12714,11412,B3
TDO,11707,11507,A2
TEST_MUX,10409,11101,AB20
TMS,13001,11213,C3
TRACE_CLK,11705,11505,A9
TRACE_CTL,12708,11406,B10
TRACE_DATA0,12515,11212,C6
TRACE_DATA1,13101,11613,D6
TRACE_DATA10,12611,11209,C9
TRACE_DATA11,11706,11506,A7
TRACE_DATA12,12511,11208,C10
TRACE_DATA13,12613,11609,D10
TRACE_DATA14,12601,11608,E11
TRACE_DATA15,12709,11407,B9
TRACE_DATA2,12713,11411,B4
TRACE_DATA3,12711,11409,E7
TRACE_DATA4,12616,11612,D7
TRACE_DATA5,12612,11201,C8
TRACE_DATA6,12513,11211,C7
TRACE_DATA7,12615,11611,D8
TRACE_DATA8,12701,11408,E9
TRACE_DATA9,12614,11601,D9
TRST_N,13102,11614,D5
UART_A_IN,13107,12101,N5
UART_A_OUT,12914,10305,R2
UART_A_READY_IN,13008,11605,N4
UART_A_READY_OUT,13009,11606,P4
UART_B_IN,12908,10403,N2
UART_B_OUT,13007,11604,M3
UART_C_IN,13004,11601,G3
UART_C_OUT,13003,11215,E3
XTAL_IN,10405,10813,AB14
XTAL_OUT,10406,10814,AB15
XTAL_SEL,11811,10707,AA17
